id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
652936070249962711,Phinney Ridge Apartment,1282652,Amanda,Other neighborhoods,Phinney Ridge,47.67394946266347,-122.3507663,Entire home/apt,121,3,69,12/9/2024,2.33,2,226,29,STR-OPLI-22-001114
653590624910987569,Private 1bed/1bath in Central Seattle Townhome,46317283,Matthew,Central Area,Minor,47.61446,-122.3038,Private room,72,2,80,12/8/2024,2.9,1,79,30,STR-OPLI-22-001451
653889876529141783,"Admiral Junction, 1 BR, 1.5 bath, W/D, A/C,Parking",465298554,Todd And Kimberly,West Seattle,North Admiral,47.57597,-122.39237,Entire home/apt,199,2,48,12/21/2024,1.67,1,354,22,STR-OPLI-22-001002
654728720514148192,Seattle’s modern 1 bd/bath unit w/parking,121426692,Lindy,Northgate,Maple Leaf,47.69446,-122.3158,Entire home/apt,87,30,8,5/4/2024,0.28,3,323,1,STR-OPLI-21-001401
655017903594922120,Seattle’s spacious new 2 BR apartment,247088829,Edward,Ballard,Adams,47.67374,-122.3817,Private room,193,2,83,11/29/2024,2.73,5,354,26,STR-OPLI-19-000832
655031081361566694,Historical 1916 Craftsman Family Home in Madrona,365831468,Sheryl,Central Area,Madrona,47.6155479,-122.2889265,Entire home/apt,455,3,105,12/16/2024,3.94,1,216,48,STR-OPLI-20-000182
655104930835168783,Lovely 2 Bed/Bath Penthouse w/ Space Needle View,49865214,Ashley,Downtown,Belltown,47.6174962,-122.3463027,Entire home/apt,163,2,152,12/8/2024,5.36,1,279,58,STR-OPLI-22-001181
655990962734950011,Cozy remodeled house near Seward Park with AC.,225132113,Eva,Rainier Valley,Rainier Beach,47.519402,-122.262468,Entire home/apt,,30,27,7/14/2024,0.9,1,0,6,STR-OPLI-22-001121
656071664371697729,Downtown Greenwood 2 bedroom House w/King Beds,71132731,Dani,Other neighborhoods,Greenwood,47.691501432442806,-122.3621557,Entire home/apt,133,1,86,12/2/2024,4.22,2,76,44,STR-OPLI-23-000306
656531036034625298,Crystal Cottage in Rainier Beach,443818258,Stephany,Rainier Valley,Dunlap,47.52651963110934,-122.270269,Entire home/apt,158,30,2,3/4/2023,0.09,1,179,0,STR-OPLI-23-000033
656604863426305592,Quaint 3-bed home boasts indoor/outdoor living,456579564,Tyler,Lake City,Olympic Hills,47.72227,-122.30267,Entire home/apt,162,30,3,11/8/2024,0.11,3,365,2,STR-OPLI-22-001500
657209588432970097,Woodland Park's (Top Floor) Calendar,241568755,Jen,Other neighborhoods,Fremont,47.66479,-122.34788,Entire home/apt,,30,15,12/4/2022,0.5,4,0,0,STR-OPLI-22-000515
657438582904363244,Cozy & Private Studio in the Heart of Fremont!,398317720,Ying,Other neighborhoods,Fremont,47.654,-122.35817,Entire home/apt,68,1,128,11/10/2024,4.42,71,357,36,STR-OPLI-19-001363
657440051210366118,"Downtown Fremont: Cali King Bed, Rooftop, Office",398317720,Ying,Other neighborhoods,Fremont,47.65460621372039,-122.3596978,Entire home/apt,,1,60,12/1/2024,2.15,71,343,42,STR-OPLI-19-001363
658833790037416699,"Room near Airport, Beach, and Downtown Seattle",52380600,Ana,Delridge,South Delridge,47.52693,-122.35986,Private room,77,1,43,10/26/2024,1.77,2,365,20,STR-OPLI-22-001909
658929783043293630,"Getaway in Seattle, WA",119073497,Xiaowen,University District,University District,47.66457086,-122.3192134,Entire home/apt,888,2,85,9/16/2024,2.83,1,90,23,STR-OPLI-22-001063
659411184020460858,New Seattle Home | Walk to Restaurants | Rooftop,428560851,Katie,Other neighborhoods,Wallingford,47.661822,-122.3448969,Entire home/apt,293,2,76,11/25/2024,2.61,2,154,23,STR-OPLI-22-001134
660180808787456090,"Close to UW and Children's hospital, 1 bed/1 bath",3148315,Ryan,Other neighborhoods,Windermere,47.67051,-122.26967,Entire home/apt,,3,8,8/18/2024,0.35,1,0,5,STR-OPLI-23-000073
660222993467203579,Space for all - 5 bedrooms 3 baths. Come Relax!,5325329,Blair,Beacon Hill,Mid-Beacon Hill,47.54973,-122.2927,Entire home/apt,270,1,122,12/8/2024,4.38,7,142,31,STR-OPLI-19-002535
660372907851801444,Comfortable 3 bedroom townhouse with home gym.,31487415,Trace,Delridge,South Delridge,47.52085,-122.35704,Entire home/apt,182,1,148,12/2/2024,5.33,1,302,44,STR-OPLI-22-001442
660676401512204355,New! Boutique Studio in Belltown with Rooftop Deck,377129678,Karen,Downtown,Belltown,47.6174962,-122.3463027,Entire home/apt,146,3,74,12/8/2024,2.46,9,271,35,STR-OPLI-22-000856
